고객ID,성별,결제수단,거주지,회원등급,만족도,최근접속시간(시),선호제품군_적정온도,나이,구매수량,총결제금액
CUST_2302,여성,간편결제,서울,Silver,3,20,15.3,41,17,24122
CUST_2303,기타,계좌이체,경기,VIP,2,10,21.1,63,17,833935
CUST_2304,남성,간편결제,서울,VIP,5,11,14.9,35,26,973997
CUST_2305,남성,휴대폰결제,서울,Silver,1,7,25.5,25,8,155324
CUST_2306,여성,계좌이체,대구,VVIP,2,9,25.3,50,13,402083
CUST_2307,기타,계좌이체,부산,Gold,5,5,22.7,64,38,303335
CUST_2308,남성,휴대폰결제,대구,Gold,4,3,21.8,26,22,735646
CUST_2309,여성,간편결제,경기,Gold,3,23,28.8,43,10,930097
CUST_2310,기타,계좌이체,경기,Silver,3,11,20.0,68,10,390338
CUST_2311,남성,계좌이체,광주,VIP,2,10,14.1,46,28,449671
CUST_2312,남성,신용카드,대구,Gold,5,16,22.2,27,29,903555
CUST_2313,남성,계좌이체,부산,VVIP,1,8,30.4,48,42,969417
CUST_2314,기타,신용카드,부산,VIP,3,1,14.9,54,3,853319
CUST_2315,남성,계좌이체,부산,VVIP,3,12,18.2,58,48,521958
CUST_2316,남성,계좌이체,경기,Gold,5,17,22.1,43,20,848792
CUST_2317,기타,간편결제,서울,Bronze,1,2,19.7,58,35,423089
CUST_2318,여성,신용카드,경기,Silver,5,2,15.1,58,40,13515
CUST_2319,여성,휴대폰결제,대구,Gold,5,11,25.6,40,12,27688
CUST_2320,여성,신용카드,경기,VIP,3,17,31.6,37,11,770538
CUST_2321,여성,계좌이체,서울,Bronze,5,20,21.0,69,49,364109
CUST_2322,기타,휴대폰결제,광주,Gold,4,1,15.5,46,28,591239
CUST_2323,남성,신용카드,광주,VIP,2,20,12.3,70,44,381531
CUST_2324,여성,계좌이체,서울,Silver,1,11,21.3,26,7,262265
CUST_2325,남성,간편결제,경기,Silver,5,21,25.5,67,3,604006
CUST_2326,기타,휴대폰결제,경기,Silver,3,23,22.4,23,46,113636
CUST_2327,여성,계좌이체,광주,Gold,2,0,20.0,45,14,50092
CUST_2328,남성,휴대폰결제,부산,Bronze,2,12,17.1,61,18,196883
CUST_2329,기타,간편결제,경기,Bronze,1,5,14.5,48,37,785489
CUST_2330,남성,간편결제,광주,Gold,2,10,24.2,24,11,41611
CUST_2331,여성,계좌이체,부산,Gold,5,7,24.6,33,2,10227
CUST_2332,여성,휴대폰결제,서울,VVIP,5,17,12.3,70,4,836934
CUST_2333,기타,신용카드,대구,Gold,4,9,27.9,25,44,715763
CUST_2334,남성,계좌이체,광주,Gold,5,6,22.9,47,18,721806
CUST_2335,남성,계좌이체,대구,Bronze,5,1,27.0,49,2,755029
CUST_2336,남성,휴대폰결제,대구,VVIP,3,9,13.3,42,7,193005
CUST_2337,남성,휴대폰결제,부산,Silver,1,3,13.2,60,6,95660
CUST_2338,기타,간편결제,광주,Bronze,4,9,19.3,55,31,437338
CUST_2339,기타,휴대폰결제,부산,Silver,4,7,22.5,68,19,462037
CUST_2340,남성,휴대폰결제,대구,Bronze,3,6,29.0,45,50,371088
CUST_2341,여성,신용카드,부산,VIP,4,17,23.5,68,6,760415
CUST_2342,남성,간편결제,서울,Bronze,5,10,18.8,64,8,830174
CUST_2343,기타,간편결제,경기,Silver,1,12,14.9,59,18,232438
CUST_2344,여성,신용카드,부산,Gold,5,2,26.2,38,9,622475
CUST_2345,여성,신용카드,대구,VIP,2,5,15.2,51,15,730630
CUST_2346,기타,간편결제,부산,Silver,5,20,28.1,69,49,569000
CUST_2347,기타,계좌이체,대구,VVIP,1,16,18.6,70,15,594496
CUST_2348,여성,신용카드,광주,Bronze,1,11,28.0,63,17,197897
CUST_2349,남성,간편결제,경기,Silver,4,18,23.4,61,42,656117
CUST_2350,남성,신용카드,광주,Silver,3,6,19.3,45,4,238324
CUST_2351,기타,계좌이체,서울,Bronze,3,9,17.4,46,44,354603
CUST_2352,여성,휴대폰결제,서울,Gold,3,18,18.3,57,6,630917
CUST_2353,여성,간편결제,대구,VVIP,1,13,22.1,33,40,651757
CUST_2354,여성,간편결제,서울,Silver,2,12,20.4,39,12,851388
CUST_2355,여성,계좌이체,서울,Gold,4,14,17.0,43,8,519340
CUST_2356,기타,계좌이체,부산,Gold,5,6,19.2,59,32,946636
CUST_2357,기타,간편결제,부산,VVIP,2,7,20.4,52,22,606767
CUST_2358,기타,휴대폰결제,서울,VIP,2,16,9.4,23,5,186250
CUST_2359,기타,간편결제,부산,VVIP,3,15,22.3,57,31,504552
CUST_2360,여성,간편결제,서울,VVIP,5,6,15.1,20,37,993726
CUST_2361,남성,신용카드,대구,Bronze,1,7,14.2,42,6,551772
CUST_2362,여성,휴대폰결제,부산,VIP,2,15,11.6,34,25,410187
CUST_2363,남성,휴대폰결제,경기,Gold,5,20,11.0,46,27,222569
CUST_2364,남성,간편결제,광주,VIP,3,10,13.2,56,46,362416
CUST_2365,남성,계좌이체,경기,VVIP,1,23,16.5,36,17,519678
CUST_2366,여성,휴대폰결제,부산,Gold,2,8,29.8,44,1,225536
CUST_2367,남성,신용카드,서울,Bronze,5,8,17.4,31,14,900475
CUST_2368,기타,간편결제,경기,Bronze,2,18,20.9,52,32,536568
CUST_2369,남성,휴대폰결제,대구,Gold,1,19,22.0,69,35,550684
CUST_2370,여성,신용카드,서울,VVIP,3,0,20.7,39,38,42224
CUST_2371,여성,계좌이체,광주,Bronze,1,1,19.6,50,2,988009
CUST_2372,남성,휴대폰결제,경기,VIP,3,16,14.0,51,21,944280
CUST_2373,남성,계좌이체,경기,Bronze,3,21,27.3,56,12,906509
CUST_2374,기타,간편결제,경기,Bronze,4,8,29.0,49,31,648960
CUST_2375,여성,신용카드,경기,VIP,5,5,11.6,27,12,439106
CUST_2376,기타,휴대폰결제,부산,VVIP,4,2,14.9,32,5,545470
CUST_2377,여성,휴대폰결제,대구,Silver,1,11,18.6,57,33,191502
CUST_2378,기타,휴대폰결제,서울,Gold,4,2,15.2,45,18,241381
CUST_2379,남성,계좌이체,광주,VVIP,2,11,22.5,31,22,687293
CUST_2380,남성,휴대폰결제,광주,Bronze,1,22,16.4,62,24,612137
CUST_2381,여성,신용카드,부산,Bronze,4,21,30.8,68,33,363797
CUST_2382,남성,간편결제,부산,Silver,3,10,26.0,69,5,953452
CUST_2383,남성,신용카드,경기,Bronze,5,18,21.1,54,6,30930
CUST_2384,여성,휴대폰결제,대구,Silver,3,14,25.1,43,14,61524
CUST_2385,기타,휴대폰결제,서울,Silver,1,20,25.5,53,18,991395
CUST_2386,남성,휴대폰결제,대구,VVIP,5,8,17.2,20,2,841484
CUST_2387,여성,간편결제,대구,Silver,2,2,15.9,47,39,153708
CUST_2388,여성,휴대폰결제,부산,VVIP,2,0,20.4,68,11,266218
CUST_2389,남성,계좌이체,경기,Silver,1,6,24.3,31,43,479321
CUST_2390,여성,간편결제,광주,Silver,3,8,20.7,33,11,153329
CUST_2391,남성,신용카드,부산,Bronze,5,19,12.1,58,41,350272
CUST_2392,여성,휴대폰결제,광주,Silver,2,17,16.0,30,34,352664
CUST_2393,여성,계좌이체,부산,VVIP,3,17,19.6,24,40,968740
CUST_2394,여성,계좌이체,대구,Bronze,1,3,19.6,38,45,42874
CUST_2395,여성,휴대폰결제,서울,Bronze,3,6,29.9,21,35,955840
CUST_2396,남성,간편결제,부산,Gold,1,10,13.1,37,10,481675
CUST_2397,남성,계좌이체,부산,VVIP,5,21,22.5,31,5,365150
CUST_2398,기타,휴대폰결제,경기,Bronze,4,5,27.4,23,38,237683
CUST_2399,기타,휴대폰결제,경기,VVIP,5,0,31.4,53,42,749879
CUST_2400,남성,신용카드,경기,VIP,3,10,18.0,57,10,145020
CUST_2401,여성,간편결제,대구,Gold,5,23,22.5,27,30,456651
CUST_2402,기타,신용카드,대구,Gold,5,12,22.8,51,33,656116
CUST_2403,남성,신용카드,광주,Gold,1,12,21.0,34,40,381655
CUST_2404,여성,계좌이체,서울,Bronze,5,18,19.5,20,4,776927
CUST_2405,기타,계좌이체,서울,VIP,5,3,22.2,24,26,62476
CUST_2406,기타,신용카드,대구,VVIP,4,5,7.3,62,18,912365
CUST_2407,기타,신용카드,부산,VIP,5,8,23.4,59,37,171021
CUST_2408,여성,계좌이체,부산,Bronze,3,10,20.6,27,38,598082
CUST_2409,여성,신용카드,서울,VIP,1,4,18.9,35,9,433949
CUST_2410,남성,신용카드,경기,Silver,2,2,30.2,60,26,806987
CUST_2411,남성,휴대폰결제,경기,Silver,5,10,16.6,21,36,663653
CUST_2412,남성,간편결제,대구,Bronze,1,15,18.0,36,43,648727
CUST_2413,여성,간편결제,광주,Bronze,3,2,30.0,68,9,357448
CUST_2414,여성,휴대폰결제,대구,VVIP,5,15,15.8,58,43,286156
CUST_2415,기타,계좌이체,서울,Gold,1,22,17.2,42,28,480765
CUST_2416,기타,신용카드,대구,Gold,2,23,19.3,40,30,636985
CUST_2417,남성,신용카드,부산,VIP,4,12,24.2,35,27,994143
CUST_2418,남성,간편결제,대구,VIP,1,16,21.0,62,14,79284
CUST_2419,여성,계좌이체,대구,Gold,4,22,13.5,53,49,551480
CUST_2420,여성,휴대폰결제,경기,Bronze,1,4,17.3,42,20,33032
CUST_2421,여성,휴대폰결제,광주,Gold,3,23,17.0,46,26,395329
CUST_2422,여성,간편결제,광주,VVIP,4,9,19.6,19,43,246809
CUST_2423,남성,간편결제,부산,VVIP,5,20,22.1,48,11,873906
CUST_2424,남성,간편결제,서울,VIP,5,3,22.1,30,13,221797
CUST_2425,기타,휴대폰결제,부산,VIP,4,15,11.1,69,18,976426
CUST_2426,기타,계좌이체,경기,VVIP,4,15,25.3,63,12,213446
CUST_2427,남성,휴대폰결제,광주,VVIP,3,10,21.3,65,47,680144
CUST_2428,남성,간편결제,경기,Gold,5,10,26.9,44,31,248416
CUST_2429,남성,신용카드,광주,Bronze,5,22,22.2,57,11,306351
CUST_2430,여성,신용카드,경기,Silver,3,18,25.5,22,32,349245
CUST_2431,남성,계좌이체,부산,VVIP,4,9,22.3,54,46,447706
CUST_2432,여성,휴대폰결제,부산,Bronze,1,11,26.7,20,7,134424
CUST_2433,남성,신용카드,서울,VVIP,4,12,22.6,39,40,897802
CUST_2434,여성,휴대폰결제,대구,Bronze,1,0,19.5,38,13,371065
CUST_2435,여성,신용카드,광주,Gold,4,11,31.4,39,1,220022
CUST_2436,남성,간편결제,부산,Gold,5,15,24.4,53,31,820581
CUST_2437,여성,신용카드,광주,VIP,3,20,22.9,37,31,783884
CUST_2438,기타,계좌이체,광주,Silver,5,9,13.6,59,39,933577
CUST_2439,남성,계좌이체,경기,VIP,5,13,13.6,62,29,158974
CUST_2440,기타,간편결제,서울,VVIP,2,6,21.5,39,40,736691
CUST_2441,기타,신용카드,부산,Silver,3,5,20.7,30,17,474746
CUST_2442,여성,휴대폰결제,경기,VIP,2,4,16.9,64,5,298401
CUST_2443,기타,간편결제,부산,Bronze,2,3,20.7,29,33,316078
CUST_2444,여성,휴대폰결제,대구,Silver,5,14,27.9,24,6,529295
CUST_2445,여성,계좌이체,대구,VIP,4,5,23.5,56,28,937416
CUST_2446,여성,계좌이체,서울,VVIP,3,3,14.3,40,24,882644
CUST_2447,기타,간편결제,부산,Silver,1,3,19.4,37,24,650267
CUST_2448,기타,간편결제,광주,Bronze,5,6,16.0,66,44,647109
CUST_2449,남성,계좌이체,부산,VIP,3,8,18.1,32,17,243093
CUST_2450,기타,간편결제,대구,VIP,4,4,17.9,45,12,415823
CUST_2451,여성,간편결제,경기,Gold,5,9,17.6,55,25,678568
CUST_2452,남성,계좌이체,광주,VIP,4,0,13.7,52,34,718497
CUST_2453,기타,간편결제,부산,Silver,3,16,19.4,27,13,228219
CUST_2454,기타,간편결제,광주,VVIP,3,2,17.2,64,34,39653
CUST_2455,남성,간편결제,서울,VIP,2,4,5.4,56,37,931102
CUST_2456,여성,휴대폰결제,서울,VIP,3,13,30.3,52,8,741304
CUST_2457,여성,휴대폰결제,부산,VVIP,5,12,25.4,63,27,236465
CUST_2458,여성,계좌이체,대구,Silver,1,15,18.1,37,16,728076
CUST_2459,여성,계좌이체,경기,Silver,3,6,20.1,47,20,14640
CUST_2460,남성,휴대폰결제,광주,Bronze,5,21,14.1,40,5,180173
CUST_2461,남성,휴대폰결제,경기,VIP,3,9,28.5,45,8,595484
CUST_2462,기타,계좌이체,광주,VVIP,1,4,29.5,58,48,941816
CUST_2463,여성,간편결제,부산,VIP,2,11,20.8,50,42,471908
CUST_2464,기타,휴대폰결제,서울,VVIP,5,3,25.1,50,44,489861
CUST_2465,여성,간편결제,광주,VIP,3,2,20.9,27,32,87632
CUST_2466,남성,신용카드,광주,Silver,4,18,13.3,24,44,427743
CUST_2467,여성,휴대폰결제,광주,Silver,1,22,17.9,21,36,733710
CUST_2468,여성,간편결제,경기,Bronze,2,1,20.7,38,8,481643
CUST_2469,여성,휴대폰결제,서울,VIP,3,8,17.7,28,33,32770
CUST_2470,여성,계좌이체,대구,Silver,1,21,18.9,53,31,587830
CUST_2471,남성,휴대폰결제,서울,VIP,2,21,19.5,59,23,795241
CUST_2472,기타,휴대폰결제,부산,VVIP,4,22,19.6,52,16,297234
CUST_2473,여성,간편결제,대구,Bronze,4,4,20.3,23,5,52473
CUST_2474,여성,신용카드,대구,VIP,4,22,14.7,28,33,965838
CUST_2475,남성,신용카드,대구,VIP,5,2,16.4,34,44,547079
CUST_2476,기타,간편결제,부산,VVIP,5,20,13.6,64,6,427360
CUST_2477,남성,계좌이체,서울,VIP,2,4,24.9,21,45,392796
CUST_2478,남성,휴대폰결제,서울,VIP,2,21,9.5,25,9,665273
CUST_2479,남성,계좌이체,부산,VIP,4,21,25.8,61,43,229932
CUST_2480,기타,신용카드,부산,Gold,4,18,26.9,44,17,316146
CUST_2481,남성,간편결제,서울,VIP,1,11,18.5,44,24,530178
CUST_2482,여성,간편결제,서울,VVIP,4,8,7.0,65,50,595480
CUST_2483,남성,휴대폰결제,대구,VVIP,4,17,18.2,32,6,277626
CUST_2484,여성,신용카드,부산,VVIP,2,14,19.7,29,37,511774
CUST_2485,남성,계좌이체,부산,VIP,3,17,14.9,62,5,370573
CUST_2486,여성,휴대폰결제,대구,VIP,5,22,17.4,48,43,968249
CUST_2487,기타,휴대폰결제,대구,Bronze,1,11,27.7,28,35,613875
CUST_2488,여성,휴대폰결제,서울,Gold,4,4,23.3,53,24,73293
CUST_2489,남성,간편결제,경기,VVIP,2,11,15.4,63,16,952953
CUST_2490,기타,계좌이체,서울,Bronze,1,11,12.0,57,13,365245
CUST_2491,남성,휴대폰결제,경기,Silver,1,9,18.4,61,45,124261
CUST_2492,기타,휴대폰결제,서울,Silver,1,17,18.9,60,47,232176
CUST_2493,남성,간편결제,서울,Bronze,2,2,22.5,54,1,436589
CUST_2494,남성,휴대폰결제,부산,Silver,3,22,17.3,62,16,361352
CUST_2495,기타,신용카드,서울,VIP,4,3,22.6,23,36,557938
CUST_2496,여성,간편결제,경기,VIP,2,3,29.7,40,3,21054
CUST_2497,여성,계좌이체,경기,Silver,5,21,24.1,44,32,990027
CUST_2498,여성,휴대폰결제,부산,VVIP,2,9,19.8,54,24,90784
CUST_2499,남성,간편결제,부산,Bronze,2,11,19.1,68,43,895049
CUST_2500,남성,휴대폰결제,광주,VVIP,1,14,18.2,70,2,817863
CUST_2501,남성,신용카드,광주,Silver,5,15,25.9,33,45,360764
CUST_2502,여성,계좌이체,서울,Gold,5,2,16.9,42,41,393002
CUST_2503,남성,신용카드,경기,VIP,5,2,20.2,23,4,499509
CUST_2504,여성,간편결제,부산,VVIP,2,16,20.3,66,12,619047
CUST_2505,남성,휴대폰결제,대구,VVIP,2,18,17.5,53,33,378175
CUST_2506,남성,간편결제,서울,Gold,1,16,13.1,39,20,589794
CUST_2507,기타,휴대폰결제,광주,Silver,4,2,21.6,40,50,23731
CUST_2508,남성,계좌이체,서울,Silver,3,11,19.7,62,33,735756
CUST_2509,여성,계좌이체,부산,Bronze,5,12,22.5,59,39,247275
CUST_2510,남성,휴대폰결제,경기,Silver,3,21,17.3,42,19,203200
CUST_2511,기타,계좌이체,서울,Bronze,5,20,26.1,61,2,313650
CUST_2512,남성,신용카드,대구,Silver,3,0,15.6,51,45,990067
CUST_2513,여성,휴대폰결제,부산,VIP,5,19,28.6,48,12,156410
CUST_2514,기타,계좌이체,경기,VIP,4,9,11.3,26,16,73872
CUST_2515,남성,계좌이체,대구,Gold,5,0,22.2,45,36,963525
CUST_2516,여성,계좌이체,광주,VVIP,2,1,22.4,63,41,663858
CUST_2517,여성,계좌이체,경기,Gold,4,5,16.0,51,32,546531
CUST_2518,기타,간편결제,서울,Bronze,4,16,22.1,46,23,642902
CUST_2519,기타,계좌이체,경기,VIP,3,15,26.4,37,3,986499
CUST_2520,남성,계좌이체,대구,Silver,2,19,8.9,45,50,429641
CUST_2521,남성,계좌이체,경기,Gold,5,16,22.5,19,4,570636
CUST_2522,기타,계좌이체,서울,Gold,3,8,7.5,63,17,575477
CUST_2523,여성,간편결제,서울,VVIP,3,22,15.2,36,48,378086
CUST_2524,여성,휴대폰결제,서울,Gold,2,11,28.1,21,28,132351
CUST_2525,남성,간편결제,대구,Bronze,5,18,17.1,47,45,492801
CUST_2526,여성,신용카드,광주,VVIP,3,6,14.1,37,27,890915
CUST_2527,남성,계좌이체,광주,Bronze,2,21,19.0,21,22,902182
CUST_2528,기타,계좌이체,서울,Silver,5,21,30.3,68,1,484932
CUST_2529,여성,간편결제,서울,Silver,4,2,10.8,28,32,629338
CUST_2530,여성,신용카드,부산,VVIP,1,23,14.7,29,11,440931
CUST_2531,기타,간편결제,서울,Silver,5,6,27.5,23,8,575696
CUST_2532,여성,계좌이체,서울,VVIP,2,19,29.3,35,20,171659
CUST_2533,기타,간편결제,경기,Gold,5,7,19.5,37,13,419483
CUST_2534,여성,신용카드,부산,Gold,5,13,13.8,55,35,553286
CUST_2535,기타,계좌이체,대구,Gold,4,23,30.5,26,43,474478
CUST_2536,여성,신용카드,대구,VVIP,4,13,28.0,59,11,516349
CUST_2537,기타,신용카드,서울,Gold,3,15,23.4,56,16,549381
CUST_2538,남성,계좌이체,광주,Gold,5,17,15.9,64,25,331428
CUST_2539,기타,휴대폰결제,대구,VIP,5,13,19.8,38,33,693283
CUST_2540,남성,휴대폰결제,부산,VIP,2,3,19.2,57,19,752601
CUST_2541,기타,계좌이체,서울,VIP,4,6,21.7,22,14,966227
CUST_2542,기타,휴대폰결제,경기,Bronze,2,23,27.3,44,29,885636
CUST_2543,기타,계좌이체,경기,Bronze,2,21,24.4,23,22,121922
CUST_2544,기타,간편결제,서울,VVIP,1,14,14.6,61,31,526681
CUST_2545,남성,휴대폰결제,경기,VVIP,3,18,26.9,60,41,843898
CUST_2546,남성,계좌이체,부산,Gold,5,11,21.6,20,36,111469
CUST_2547,기타,신용카드,광주,VIP,2,16,23.4,43,50,12534
CUST_2548,기타,계좌이체,부산,Gold,4,17,27.3,67,25,659130
CUST_2549,남성,계좌이체,서울,VIP,1,11,14.4,51,25,864796
CUST_2550,여성,신용카드,광주,Gold,4,16,19.8,34,38,697908
CUST_2551,여성,계좌이체,서울,VVIP,3,20,17.3,58,47,482033
CUST_2552,여성,계좌이체,경기,VIP,1,23,12.2,66,43,425014
CUST_2553,여성,간편결제,부산,VIP,1,20,21.7,22,4,618469
CUST_2554,여성,계좌이체,광주,Gold,3,11,32.6,69,47,398662
CUST_2555,여성,신용카드,경기,Bronze,4,15,10.8,30,25,433094
CUST_2556,기타,신용카드,대구,Gold,2,9,19.8,58,29,858998
CUST_2557,남성,신용카드,경기,Silver,2,11,23.2,31,11,610633
CUST_2558,여성,휴대폰결제,서울,Silver,4,4,20.6,33,15,897436
CUST_2559,남성,간편결제,부산,VIP,4,8,19.4,65,1,550104
CUST_2560,기타,신용카드,광주,Bronze,5,14,13.5,53,19,919105
CUST_2561,기타,계좌이체,광주,Bronze,4,6,21.2,57,39,265552
CUST_2562,기타,간편결제,부산,Gold,3,17,16.2,41,34,127031
CUST_2563,기타,휴대폰결제,광주,Silver,3,17,9.1,41,3,351645
CUST_2564,여성,계좌이체,대구,VIP,1,22,26.0,43,28,852514
CUST_2565,여성,휴대폰결제,광주,VVIP,3,23,24.8,68,2,821960
CUST_2566,기타,간편결제,경기,Gold,4,6,20.3,43,9,177226
CUST_2567,기타,신용카드,대구,Silver,4,22,21.1,44,16,181648
CUST_2568,남성,간편결제,광주,VIP,1,5,25.4,43,37,797851
CUST_2569,여성,간편결제,서울,VVIP,3,14,21.1,20,44,749019
CUST_2570,기타,간편결제,서울,Silver,5,19,24.5,60,37,479105
CUST_2571,기타,신용카드,서울,Gold,1,21,18.5,29,7,488090
CUST_2572,남성,신용카드,광주,Silver,1,18,26.6,22,42,858361
CUST_2573,남성,휴대폰결제,경기,Bronze,2,10,21.6,49,31,955658
CUST_2574,기타,휴대폰결제,경기,Silver,2,16,21.0,19,25,477601
CUST_2575,여성,간편결제,서울,Bronze,1,16,13.6,36,22,383236
CUST_2576,여성,간편결제,부산,Bronze,2,4,21.4,30,43,492377
CUST_2577,여성,휴대폰결제,대구,Silver,5,3,15.8,24,18,910129
CUST_2578,기타,휴대폰결제,부산,Silver,3,23,16.8,52,17,843517
CUST_2579,여성,휴대폰결제,서울,VIP,4,14,15.9,47,28,831454
CUST_2580,여성,휴대폰결제,대구,VIP,4,4,14.7,70,38,501215
CUST_2581,여성,계좌이체,광주,VVIP,1,13,30.6,57,18,673913
CUST_2582,기타,계좌이체,서울,VVIP,2,13,26.7,26,1,603950
CUST_2583,여성,신용카드,경기,VIP,1,8,29.6,62,44,688595
CUST_2584,여성,간편결제,대구,VVIP,4,19,13.9,28,14,644038
CUST_2585,남성,휴대폰결제,광주,VIP,1,12,20.4,55,18,322794
CUST_2586,기타,간편결제,경기,Gold,3,12,13.5,36,50,13188
CUST_2587,남성,신용카드,대구,Silver,4,21,16.5,53,22,923958
CUST_2588,기타,간편결제,경기,Bronze,3,13,15.4,69,41,50778
CUST_2589,남성,계좌이체,서울,Bronze,5,8,26.2,52,4,553404
CUST_2590,여성,휴대폰결제,부산,Gold,3,16,18.0,28,29,248008
CUST_2591,남성,계좌이체,광주,Silver,1,13,25.3,37,4,385828
CUST_2592,여성,휴대폰결제,대구,VVIP,4,13,23.0,41,8,288730
CUST_2593,여성,계좌이체,광주,Bronze,5,0,31.5,32,10,438057
CUST_2594,여성,신용카드,경기,Gold,5,8,12.6,41,41,343823
CUST_2595,여성,간편결제,광주,Bronze,2,17,26.3,55,46,737837
CUST_2596,남성,신용카드,광주,Bronze,2,18,25.7,63,50,408126
CUST_2597,여성,휴대폰결제,대구,VIP,3,20,15.1,53,37,384053
CUST_2598,남성,신용카드,서울,Bronze,5,1,25.0,37,42,731872
CUST_2599,기타,신용카드,부산,VVIP,2,0,21.7,50,36,582057
CUST_2600,기타,휴대폰결제,부산,VVIP,1,1,18.9,47,43,335534
CUST_2601,여성,휴대폰결제,경기,Bronze,2,3,15.9,62,18,182227
CUST_2602,여성,간편결제,대구,Silver,2,23,16.4,51,26,551268
CUST_2603,남성,간편결제,광주,Bronze,5,9,30.2,64,49,377146
CUST_2604,남성,계좌이체,서울,Silver,5,15,20.0,69,12,41187
CUST_2605,남성,신용카드,서울,VIP,2,1,23.9,31,40,48396
CUST_2606,기타,간편결제,부산,Silver,3,9,16.0,54,50,412245
CUST_2607,기타,신용카드,대구,Gold,4,18,16.1,55,19,658712
CUST_2608,기타,휴대폰결제,대구,Bronze,4,14,25.4,53,11,958601
CUST_2609,남성,계좌이체,부산,Gold,1,13,13.3,27,22,456138
CUST_2610,남성,계좌이체,대구,Silver,5,5,17.9,29,6,242920
CUST_2611,남성,간편결제,부산,Silver,1,13,20.2,45,21,794519
CUST_2612,여성,계좌이체,서울,VIP,5,18,20.6,59,5,379054
CUST_2613,기타,계좌이체,대구,Silver,5,11,19.1,32,17,877315
CUST_2614,여성,휴대폰결제,경기,VIP,5,4,22.0,60,36,465777
CUST_2615,여성,간편결제,부산,Silver,1,4,23.5,40,21,665391
CUST_2616,여성,신용카드,경기,Silver,4,23,23.7,51,12,972562
CUST_2617,여성,계좌이체,대구,Silver,1,22,15.1,27,38,548930
CUST_2618,기타,휴대폰결제,부산,VVIP,3,9,18.6,52,34,377589
CUST_2619,여성,간편결제,대구,Silver,4,6,26.0,32,20,142960
CUST_2620,기타,간편결제,경기,VVIP,1,10,24.5,52,18,522473
CUST_2621,기타,신용카드,서울,Bronze,3,8,13.1,33,38,131483
CUST_2622,남성,간편결제,대구,VIP,2,11,21.8,66,18,23541
CUST_2623,남성,간편결제,경기,VIP,2,8,10.1,21,12,798371
CUST_2624,남성,휴대폰결제,광주,VVIP,4,0,20.2,56,43,138567
CUST_2625,남성,간편결제,대구,Silver,4,8,29.5,65,1,423257
CUST_2626,기타,신용카드,서울,Silver,2,21,15.3,65,14,711892
CUST_2627,기타,신용카드,경기,Gold,1,9,15.8,54,24,561147
CUST_2628,남성,휴대폰결제,부산,Silver,3,18,23.8,19,49,505540
CUST_2629,기타,계좌이체,서울,Gold,1,23,12.3,60,38,397344
CUST_2630,기타,계좌이체,경기,VIP,1,17,16.8,68,6,984613
CUST_2631,여성,계좌이체,서울,Bronze,4,2,23.0,34,26,304651
CUST_2632,기타,휴대폰결제,광주,Silver,3,21,16.8,25,3,488408
CUST_2633,기타,계좌이체,경기,Bronze,3,13,18.8,65,16,377230
CUST_2634,남성,계좌이체,대구,VVIP,4,14,23.7,47,17,21303
CUST_2635,기타,신용카드,서울,VVIP,2,19,22.1,32,10,613821
CUST_2636,여성,간편결제,광주,Silver,4,2,21.3,69,32,469344
CUST_2637,기타,휴대폰결제,대구,VIP,1,9,18.3,48,17,308645
CUST_2638,기타,계좌이체,광주,VVIP,3,4,21.9,28,9,843451
CUST_2639,남성,휴대폰결제,서울,VVIP,5,21,19.4,25,29,154004
CUST_2640,남성,간편결제,광주,Gold,4,22,22.3,60,26,446527
CUST_2641,남성,휴대폰결제,광주,Gold,4,2,17.5,58,5,149474
CUST_2642,기타,신용카드,서울,VVIP,5,23,19.1,43,41,352984
CUST_2643,기타,휴대폰결제,부산,Bronze,1,18,15.1,51,48,485422
CUST_2644,여성,신용카드,광주,Silver,5,2,19.8,33,46,654433
CUST_2645,남성,계좌이체,대구,Gold,5,16,15.9,64,23,54028
CUST_2646,남성,간편결제,서울,VVIP,5,1,14.4,19,7,196323
CUST_2647,여성,신용카드,경기,VVIP,2,22,21.3,31,50,906289
CUST_2648,여성,신용카드,광주,Gold,5,17,21.1,34,44,43018
CUST_2649,기타,계좌이체,광주,Gold,1,17,23.9,43,48,238841
CUST_2650,남성,신용카드,대구,Gold,5,18,17.8,43,23,686395
CUST_2651,기타,간편결제,경기,Bronze,5,15,22.0,48,17,630462
CUST_2652,기타,간편결제,광주,Silver,3,7,22.8,52,6,640513
CUST_2653,기타,신용카드,부산,VVIP,2,8,22.2,62,18,579263
CUST_2654,여성,신용카드,서울,VIP,5,16,15.9,27,48,300026
CUST_2655,기타,계좌이체,광주,Bronze,1,6,20.7,20,26,778944
CUST_2656,기타,휴대폰결제,서울,VIP,5,7,21.8,40,4,169314
CUST_2657,기타,계좌이체,대구,Gold,3,5,20.0,68,44,32861
CUST_2658,여성,계좌이체,광주,Bronze,5,20,9.6,48,50,372222
CUST_2659,여성,신용카드,부산,Silver,3,6,20.8,67,50,810723
CUST_2660,남성,계좌이체,대구,VIP,1,23,31.1,47,37,287390
CUST_2661,남성,계좌이체,부산,Gold,5,16,18.2,45,34,960458
CUST_2662,여성,신용카드,광주,Silver,2,14,16.4,54,32,674514
CUST_2663,기타,계좌이체,광주,Silver,4,23,21.9,37,36,105373
